"","r0.01To1","r0.01To0.75","r0.01To0.5","r0.01To0.375","r0.01To0.25","r0.01To0.125","r0.3To0.5"
"nu4t0",0.266690769440899,0.338000608398349,0.418914838183181,0.464607836967177,0.518388824231919,0.589230974916413,0.307696487873833
"nu4t0.2",0.266668259005828,0.337964405779104,0.418877940820747,0.464563320818575,0.518326503610713,0.589157509338173,0.307666196906823
"nu4t0.4",0.26665336295862,0.337949632831079,0.418848614635577,0.464510346582716,0.518272562016926,0.589084908940952,0.307687045926514
"nu4t0.6",0.266634542656715,0.337908549164189,0.418792705975142,0.46446033958611,0.518216886303118,0.589005035952222,0.307626536416697
"nu4t0.8",0.266619283981809,0.337883628870537,0.41875246975104,0.464397613325158,0.518132759246852,0.588920004606724,0.307637468881286
"nu4t1",0.266603673647892,0.337861731925959,0.418728166395457,0.464359278077008,0.518091122679598,0.588848513974545,0.307633125899598
"nu4t1.2",0.266600075944979,0.337853956199074,0.418704766934639,0.46431756801171,0.518034252174519,0.588769610348689,0.307643278136816
"nu4t1.4",0.266575184842199,0.337817028396376,0.418654467002393,0.464260308952742,0.517966264577113,0.588669872474104,0.307635907137483
"nu4t1.6",0.266553800718299,0.337788095618242,0.418621160544479,0.464220982379557,0.517923012659483,0.588604513993133,0.307597510355014
"nu4t1.8",0.266538777812544,0.337755125421167,0.418561944673266,0.464146772746363,0.517853324412173,0.588516993111843,0.307547588346024
"nu4t2",0.266543446211967,0.337754130341491,0.41854667700616,0.464107855135912,0.51780529283261,0.588455408024939,0.307577369385294
"nu4.2t0",0.266053143269328,0.337094796429085,0.417695862121125,0.463212371860132,0.516784010053931,0.587081390313981,0.30694820448326
"nu4.2t0.2",0.266041429592585,0.337066446740364,0.417648095665116,0.463145970477237,0.516727609141145,0.587022023011816,0.306919567012702
"nu4.2t0.4",0.266045697782318,0.337076019518348,0.417642279350116,0.463128830854128,0.516693976250243,0.586967893866008,0.306949480356697
"nu4.2t0.6",0.266032513619413,0.33704877156154,0.417610509260696,0.463098850559518,0.51664231986325,0.586884543369365,0.306955449753063
"nu4.2t0.8",0.266009133923824,0.337011205424362,0.417559492682897,0.463044789970997,0.516596883691546,0.586827110938813,0.306909235848905
"nu4.2t1",0.266008003267488,0.337012078930449,0.417548260686842,0.463016637831749,0.51655967794812,0.586787202483856,0.306931277732527
"nu4.2t1.2",0.265981788025414,0.33698182947783,0.417506224788849,0.462967714188903,0.516498110994136,0.586703521604805,0.306894379581344
"nu4.2t1.4",0.26598044739669,0.33696311777924,0.417476699305526,0.462941952651882,0.516462423414431,0.586639865769777,0.306870743850747
"nu4.2t1.6",0.265989046656455,0.336967465362994,0.417479263023278,0.462912912389435,0.516432211072099,0.586589284038861,0.30693231895949
"nu4.2t1.8",0.265962710754227,0.336936854218285,0.417428531372925,0.462861617347044,0.516366828586268,0.586522075423188,0.306900663481403
"nu4.2t2",0.265966508134585,0.336932968281602,0.417409919622371,0.462819510198726,0.516317844270173,0.586457607479341,0.306938227110682
"nu4.4t0",0.265551341049629,0.336333013830921,0.41651530101184,0.461924834453307,0.515315761522142,0.585106755132097,0.306207081998027
"nu4.4t0.2",0.26552865292561,0.336310969282196,0.41648783311722,0.461887913610582,0.515257401043568,0.585042894195184,0.306202393726861
"nu4.4t0.4",0.265515677743548,0.336282739893747,0.416443717598112,0.461835760364396,0.515208710190593,0.584985723835916,0.306178938727893
"nu4.4t0.6",0.265516253694422,0.336280168875511,0.416436259981737,0.461822783917328,0.515175139193064,0.584950669519853,0.30619039034714
"nu4.4t0.8",0.265519517516711,0.336283290787227,0.416412181936068,0.461783859668729,0.515122954976581,0.58488166856845,0.306198877684434
"nu4.4t1",0.265505460194708,0.336261409430253,0.416386280364711,0.461764587118524,0.515094689006245,0.584829258443062,0.306186280297819
"nu4.4t1.2",0.265497833233601,0.336247397921007,0.416349231130017,0.461722437052813,0.515052534960315,0.584774274177228,0.306156978619523
"nu4.4t1.4",0.26550914152004,0.336246072669453,0.416328380536099,0.461706308771131,0.515008492768715,0.584725794142118,0.306155868456202
"nu4.4t1.6",0.265495865045543,0.336232847703038,0.41631895303504,0.46168791067819,0.514981190425948,0.584683964177933,0.306175728215764
"nu4.4t1.8",0.265488724331892,0.336226573741795,0.416304008797255,0.461657371991137,0.514961179162717,0.584630563042802,0.306180055595806
"nu4.4t2",0.265483591047719,0.336214967036641,0.416274568653927,0.461636875005541,0.514914536480807,0.584561728289757,0.306154723126811
"nu4.6t0",0.265118924817683,0.335679906183774,0.415473526754266,0.460771390653409,0.513870358079495,0.583223187323039,0.305610419024886
"nu4.6t0.2",0.265108997227011,0.335661559859416,0.415439788574366,0.460730963336683,0.513829108177109,0.583184008107628,0.305578086280331
"nu4.6t0.4",0.265095818719598,0.335648039537269,0.415421933942333,0.460707960022233,0.513804688713762,0.583152848071838,0.305560773380165
"nu4.6t0.6",0.265081433146315,0.33563119265776,0.415402457875791,0.460676078626908,0.513766922648453,0.583092840049178,0.305572609977521
"nu4.6t0.8",0.265079671669439,0.335620885790544,0.415378071637919,0.460666353133185,0.513721386150968,0.583051410212457,0.305553857617789
"nu4.6t1",0.265070552310854,0.335603262024138,0.41534937464304,0.460621503490822,0.513683117074606,0.583012755361148,0.305541485633214
"nu4.6t1.2",0.265075633095845,0.33560499734768,0.415338051558242,0.460600951157977,0.513659008670939,0.582959374531682,0.305541497813104
"nu4.6t1.4",0.265067168450446,0.335588970852395,0.415312006297525,0.460578936831693,0.513625243349723,0.582909727562798,0.305532190648381
"nu4.6t1.6",0.265066651338004,0.335586613508579,0.415289211526821,0.46056251569077,0.513586362151184,0.582876281895307,0.305510011388536
"nu4.6t1.8",0.265059918866001,0.335581052320489,0.415278900982034,0.460538437556937,0.513569653522965,0.582832063709238,0.305506893444105
"nu4.6t2",0.265059290190126,0.335576855544329,0.415268187497225,0.460516792088977,0.513532852484048,0.582780382128661,0.305522853482516
"nu4.8t0",0.264736757373895,0.335082386292884,0.414476798824597,0.459652673739004,0.512496681630909,0.581484207632472,0.304919375585718
"nu4.8t0.2",0.264735892693986,0.33507618239383,0.414466807969036,0.459624466292132,0.512468994333156,0.581446561630729,0.304937734886029
"nu4.8t0.4",0.264721743955813,0.335057490027885,0.414455339406743,0.459611434135443,0.512431736526704,0.581403209097868,0.304953113212431
"nu4.8t0.6",0.2647301759652,0.335059198761316,0.414440698096749,0.459588658932756,0.512405167914661,0.581365190754732,0.304945272677038
"nu4.8t0.8",0.264732941136875,0.335057295775711,0.414432048023401,0.459580285633259,0.512381682850425,0.581348304579265,0.304948413449493
"nu4.8t1",0.264735778306348,0.335053538973961,0.414408154835332,0.459546839720878,0.512348954724536,0.581300642924702,0.304935823468588
"nu4.8t1.2",0.264730616433453,0.335038340087948,0.414390150189716,0.459538251093683,0.512319726349175,0.581262270963133,0.304917726715991
"nu4.8t1.4",0.264722965048608,0.335027679353771,0.414371038344974,0.459516353924507,0.512294905053634,0.581220484678471,0.30490053495167
"nu4.8t1.6",0.264737845807654,0.335035831630385,0.414369020940107,0.459504921551498,0.512275029945301,0.581200172597322,0.304918674230344
"nu4.8t1.8",0.264723338606953,0.335020106129657,0.414349572422104,0.459489854114571,0.512245071298749,0.581175429664284,0.304901658961756
"nu4.8t2",0.264726473121835,0.335018215352671,0.414327632378708,0.4594699334561,0.512222858507069,0.58113127243195,0.304880981104196
"nu5t0",0.264508325192275,0.334649588165191,0.41362373836636,0.458684541010514,0.51125184011701,0.579931737070989,0.304411534792285
"nu5t0.2",0.264519379287194,0.334659610502266,0.413630409889835,0.4586811946098,0.511245329406449,0.579907632227125,0.304434772233775
"nu5t0.4",0.264519185480715,0.334658374175962,0.413614307589423,0.458664885538987,0.511219260749519,0.579878575022479,0.304425732448593
"nu5t0.6",0.264507188799043,0.33463674572421,0.4135802160949,0.458637529919073,0.511181899052407,0.579851304149196,0.304390053076481
"nu5t0.8",0.264510437463138,0.334637011710785,0.413575764626104,0.458626885669596,0.511162801260515,0.579827117801123,0.30439324615819
"nu5t1",0.264516137716558,0.334642064625039,0.413570893941867,0.458605618148019,0.51113869609955,0.579793540313688,0.304418204229731
"nu5t1.2",0.264501267927938,0.334623097236501,0.413548832147903,0.458589370240594,0.51112084138337,0.57976033638507,0.304393846369569
"nu5t1.4",0.264502510776747,0.33462642235638,0.41354277599938,0.458579576860716,0.511098108128056,0.579728961525303,0.304399402732913
"nu5t1.6",0.264511664040848,0.334629281220859,0.413527088414764,0.458575773226049,0.511083186414379,0.579706333778611,0.304378684310418
"nu5t1.8",0.264514386443687,0.334631941536674,0.413516607782905,0.458564306316002,0.511058878204,0.579674879048936,0.304373659313628
"nu5t2",0.264497905216287,0.334611299368817,0.413492267581698,0.458535209496938,0.511031363082043,0.579642279195781,0.304346696097669
"nu5.2t0",0.26435240935669,0.334294290737502,0.412868633229513,0.457814597368607,0.510163976342295,0.578523203229333,0.303988099052244
"nu5.2t0.2",0.264343463213849,0.334279805968597,0.4128501752253,0.45779817923982,0.510145021311591,0.578502628595598,0.303958053366324
"nu5.2t0.4",0.264339424870087,0.334277519318903,0.412833024711119,0.457779441927548,0.510122648100533,0.578487867389749,0.303940839516446
"nu5.2t0.6",0.264336933503017,0.334275680560714,0.412826783920726,0.457761943120191,0.510095064876066,0.578458839501896,0.303957884982587
"nu5.2t0.8",0.264349664254599,0.334286739657428,0.412823946258017,0.45775591202082,0.510089137663793,0.578433215253113,0.303959612319574
"nu5.2t1",0.264359636236505,0.334286934324847,0.412822036676532,0.457748550119114,0.510069983375334,0.578408058851111,0.303982965030385
"nu5.2t1.2",0.264358921946904,0.334277872958399,0.41280451554889,0.457725976158717,0.510043890197531,0.578373445510369,0.303983103528554
"nu5.2t1.4",0.264363114737572,0.334279041395179,0.412789274625911,0.457717704748639,0.510027210746085,0.578358371983287,0.303960290095023
"nu5.2t1.6",0.264370064675048,0.334284762936856,0.412790956206993,0.457719723319879,0.510020548059174,0.578344177707327,0.303964391770189
"nu5.2t1.8",0.264362651368275,0.334273115290138,0.412780459394823,0.457709045531613,0.510000370288178,0.57831641087123,0.303959563197951
"nu5.2t2",0.264363052018605,0.334275915484447,0.412772590095034,0.457702219095285,0.509993149349813,0.578292482208054,0.303956272996418
"nu5.4t0",0.264263396793142,0.334018965109281,0.412188257992587,0.457044179054144,0.509146906611792,0.577284334029804,0.303672365659499
"nu5.4t0.2",0.264262477256841,0.334019376133182,0.412175717988705,0.45702577025704,0.509127293274633,0.577269982818078,0.303673085197488
"nu5.4t0.4",0.26427392706982,0.334031133678198,0.412179166969783,0.457030803317083,0.509119406547692,0.577254147783116,0.303678812635793
"nu5.4t0.6",0.264278749506327,0.334029394683848,0.412174392668773,0.457013541862721,0.509099733104485,0.577228221811946,0.303698098454263
"nu5.4t0.8",0.264294797894459,0.334045988269623,0.412177448044824,0.457005778952644,0.509101723118377,0.577211771882595,0.303713792435336
"nu5.4t1",0.264282614034081,0.33402637793195,0.41216220264722,0.456986274664766,0.509089118115905,0.57718576778045,0.303696515750774
"nu5.4t1.2",0.264278980046729,0.33401950460999,0.412160092407482,0.456993458947663,0.509076803096964,0.577180236892124,0.303707854629958
"nu5.4t1.4",0.264287648664921,0.334025907144528,0.412146735750831,0.45698094306966,0.509061756865333,0.577161438867582,0.303700038018734
"nu5.4t1.6",0.264291470999829,0.334022668714211,0.412135592174758,0.456975498134527,0.509048676949468,0.577136971027998,0.30369167540092
"nu5.4t1.8",0.264289803585185,0.334018205135145,0.412130098542877,0.456967971044,0.50903501442136,0.577114980756499,0.303694591790303
"nu5.4t2",0.264292583173436,0.334020434422012,0.412123134577707,0.456958800086968,0.509018833682802,0.577093165371641,0.303697852765904
"nu5.6t0",0.264265775865857,0.333843363118191,0.411661152194902,0.456410146719225,0.508248778221589,0.576212794008078,0.303564185018379
"nu5.6t0.2",0.264269117403647,0.333848992892818,0.411651414290031,0.456406194921347,0.508234886732691,0.576193293005698,0.303549998371244
"nu5.6t0.4",0.264269670591091,0.333845193342995,0.411644221863334,0.456396838136713,0.508221615276442,0.57617782234672,0.303541947926862
"nu5.6t0.6",0.264266656938076,0.333843122672204,0.411637050125907,0.456382170162051,0.508202771012624,0.576158915646623,0.303559027152798
"nu5.6t0.8",0.264267826786092,0.333844700558345,0.411635888600949,0.456378289107084,0.508197433563144,0.576142838457307,0.303565425899232
"nu5.6t1",0.264275283880491,0.333852361615554,0.411624615162698,0.456373037768648,0.508192257762522,0.576124087471437,0.303548665651382
"nu5.6t1.2",0.26428362279269,0.333861695265392,0.411628336142832,0.456371245565187,0.508186478499514,0.576114413874411,0.303564951465278
"nu5.6t1.4",0.264289584726383,0.333865494896466,0.411621399609883,0.456356231704356,0.508163910934538,0.576101488075003,0.30356772332354
"nu5.6t1.6",0.264291861090553,0.333862804924862,0.411612478834446,0.456352790549757,0.508145747061932,0.576084529152932,0.303563148875078
"nu5.6t1.8",0.264297612590979,0.333867982086462,0.41161088382728,0.456353271113697,0.508136686798202,0.576077133055096,0.303566657780671
"nu5.6t2",0.264301685643045,0.333871816265067,0.411609727859426,0.45634168178433,0.508120571934807,0.576056014283301,0.303589340507642
"nu5.8t0",0.264324144213759,0.333767946495463,0.411230513364031,0.455804250643894,0.507427936189828,0.575303854480026,0.303526977952221
"nu5.8t0.2",0.26433285627366,0.333777057736363,0.411229633520537,0.455811057773344,0.507426229013727,0.575304606189435,0.303531026550756
"nu5.8t0.4",0.264338981164539,0.333776115161378,0.411222602943428,0.455802082275049,0.50742315363589,0.575293933303524,0.303526614395784
"nu5.8t0.6",0.264341369771221,0.33378303100807,0.411220582845079,0.455799641427263,0.50741907982642,0.575288251963032,0.303530505859598
"nu5.8t0.8",0.26433911641406,0.333781122663206,0.411220179523954,0.455788924068183,0.507404051344721,0.575278571004916,0.303546535604335
"nu5.8t1",0.264345064912698,0.333784131261318,0.411219552232932,0.455789411036188,0.507395582283244,0.575268924645157,0.303549281733664
"nu5.8t1.2",0.264350453711581,0.333792849881596,0.411223893853824,0.455787940376475,0.507381752983219,0.575249720800492,0.303572799299676
"nu5.8t1.4",0.264361859336964,0.333802739268685,0.41122693018376,0.45578929927748,0.507380340714152,0.575246858125846,0.303583491003976
"nu5.8t1.6",0.264357472909783,0.3337958649656,0.411219246202874,0.455777209111899,0.50736938612265,0.575238782678875,0.303582795704728
"nu5.8t1.8",0.26436340426923,0.333799074352077,0.411217728549506,0.455780071407386,0.507368382312096,0.575232272794588,0.303587624909026
"nu5.8t2",0.264370680508716,0.333804989187332,0.411219119291157,0.455779165129929,0.507366673822315,0.575221465951207,0.303590844890667
"nu6t0",0.264450674806082,0.333775014629967,0.410966018845103,0.455326073873469,0.506778071513456,0.574520163877932,0.303699039818122
"nu6t0.2",0.264458499701468,0.33378491482571,0.410971924378965,0.455325611376555,0.506776831720815,0.574509062835045,0.303711045522194
"nu6t0.4",0.264465502117929,0.333790089279866,0.410967232543723,0.455319550183284,0.506773060895619,0.574506799121817,0.303700781536489
"nu6t0.6",0.264477402877859,0.333794647649458,0.410970684220369,0.455315014548954,0.506767394055855,0.574495543635334,0.303715048356614
"nu6t0.8",0.264479645548847,0.333796239672033,0.410971657191525,0.455317090973745,0.506765308423884,0.574490679193061,0.303721444457274
"nu6t1",0.264486305083208,0.333800959990511,0.410968850645403,0.455310138844375,0.506757547141438,0.574486487087699,0.303727027825185
"nu6t1.2",0.264489976043243,0.333801951160622,0.410968472918203,0.455309194073306,0.506747109028417,0.574480986085392,0.303733985246835
"nu6t1.4",0.264487348164852,0.333797287569331,0.410962206211367,0.45530233744991,0.506725230261108,0.574462939255294,0.303749044301379
"nu6t1.6",0.264502046966891,0.333813858993749,0.410969514564319,0.455308495557777,0.506727431281957,0.574465860738097,0.303748572695596
"nu6t1.8",0.264501285476627,0.333809916124152,0.410967433387595,0.455302043049399,0.506723680859957,0.574456077114374,0.303752733168429
"nu6t2",0.264504119040883,0.333812653646054,0.41097296624308,0.455300118420519,0.506718971345576,0.574449259736883,0.303772591600956
"nu6.2t0",0.264697546650137,0.333896572237677,0.410885558936497,0.454954837034456,0.506273508545226,0.573847333201332,0.304070639013552
"nu6.2t0.2",0.264701717449497,0.3338965218605,0.410875080383925,0.454941235942486,0.506265776796723,0.573846048639826,0.304055294574579
"nu6.2t0.4",0.264700159978925,0.333892762411711,0.410874046089867,0.454936065900611,0.506264578775748,0.573835022102861,0.304054537193677
"nu6.2t0.6",0.264703189745774,0.33389265452936,0.410875426009465,0.454930718331839,0.506253328560778,0.573827209909137,0.304073816772854
"nu6.2t0.8",0.264708292937976,0.333895044536976,0.410879802229161,0.454931545326803,0.50625046235513,0.573826419456219,0.304083308683906
"nu6.2t1",0.264708647541285,0.333894355153923,0.410879238517262,0.454934019414665,0.506254228128089,0.573819187335811,0.30408034772457
"nu6.2t1.2",0.264711143758876,0.333893991374202,0.410879675518846,0.454929259481616,0.506249125758828,0.5738133180753,0.304094257688372
"nu6.2t1.4",0.264713059744411,0.333892747489121,0.410876305986203,0.454929410660363,0.506246280552213,0.573800468396174,0.304086529844332
"nu6.2t1.6",0.264724426069237,0.333902494747598,0.410883221077097,0.454930255953014,0.506241321041802,0.573791424655235,0.304112496057673
"nu6.2t1.8",0.264726733073554,0.333905095838996,0.410882402754054,0.45493042156757,0.506240226056216,0.573790772816839,0.304112233147909
"nu6.2t2",0.264738521473513,0.333917153601726,0.410890659094302,0.454933855283585,0.506239496335925,0.573787505052357,0.304129061019203
"nu6.4t0",0.264972377623044,0.33404918075518,0.410867993723202,0.454630252936391,0.505840065818606,0.573224525903623,0.304585482958949
"nu6.4t0.2",0.264980810839717,0.334060003917242,0.410872119764672,0.454629079943317,0.505833461583834,0.573214690168515,0.304601619663963
"nu6.4t0.4",0.264989056267889,0.33406875930362,0.410881915357135,0.454636070238226,0.505836326340664,0.573219642715282,0.304616920197314
"nu6.4t0.6",0.264993492467371,0.334074135837156,0.41088398245816,0.454636275519062,0.505834498883242,0.573211428258396,0.30462237354992
"nu6.4t0.8",0.264996916047332,0.334074321502867,0.410891804219955,0.454636684162921,0.50583040717508,0.57320410039727,0.304647816049031
"nu6.4t1",0.264997530714578,0.334075647110757,0.410891493808948,0.454632678617225,0.505827934586537,0.573201061090603,0.304653757958603
"nu6.4t1.2",0.264996435076994,0.334076683208099,0.410891983964849,0.45462805907922,0.505821585532539,0.573194187380099,0.304665979069424
"nu6.4t1.4",0.265003328256577,0.334077700528963,0.410894585899435,0.454633876577222,0.505820831525292,0.573190924595419,0.304663569621008
"nu6.4t1.6",0.265009228368837,0.334080193870748,0.410889644975009,0.454629628613675,0.505815672546094,0.573174739788755,0.304655462853513
"nu6.4t1.8",0.26501469981658,0.33408507069694,0.41089741677472,0.454628170794048,0.505813700677463,0.573171485234127,0.304674390421866
"nu6.4t2",0.265012915759037,0.334080303852991,0.410888397449732,0.45461978674287,0.505807971976685,0.57317573085106,0.304662124525396
"nu6.6t0",0.265337524982949,0.334318056126045,0.410948517141844,0.45447872058211,0.505545694993046,0.572724469324514,0.305162910732569
"nu6.6t0.2",0.265336093740874,0.334320145196147,0.410950143718633,0.454481812101685,0.505543378783619,0.572723983048509,0.305161991883205
"nu6.6t0.4",0.265339796611323,0.334322020348795,0.410945345925502,0.45447394826672,0.505531511925418,0.572708822868008,0.305166188236069
"nu6.6t0.6",0.265337976885352,0.33431806386433,0.410942123543737,0.454469464744844,0.505525382269843,0.572704757604882,0.305159589808548
"nu6.6t0.8",0.265338746553947,0.334319365891574,0.410944156995312,0.454471847414924,0.505524846765219,0.572704392945622,0.305163113992009
"nu6.6t1",0.265343366340096,0.334323294152012,0.410950562964394,0.45447396258889,0.505525576394033,0.572697575545677,0.305178459386905
"nu6.6t1.2",0.265348071374996,0.334324217234598,0.410951382647171,0.454481522143605,0.505533595650976,0.572694617414325,0.305173030448964
"nu6.6t1.4",0.265353358429666,0.33432806644714,0.410956175156982,0.454479384615689,0.50553043562889,0.572687923014676,0.30518626558182
"nu6.6t1.6",0.265354898853894,0.334325604260988,0.410959727494247,0.45448067266362,0.5055297630301,0.572678265550442,0.30519910126164
"nu6.6t1.8",0.265355863845927,0.334327143008315,0.410958657348259,0.45448360632669,0.505532325843151,0.572683988849226,0.305194249814651
"nu6.6t2",0.265367081349365,0.334337329908597,0.410974339889925,0.454493408976897,0.505538660786503,0.572689023086125,0.305215951045488
"nu6.8t0",0.265654919369134,0.334569979616739,0.411063266691942,0.454419797350251,0.505338940769236,0.572314276354034,0.305698227299754
"nu6.8t0.2",0.265656668576832,0.334569689461034,0.411065418511909,0.454421524532522,0.505342257075421,0.57231494880527,0.305699959595589
"nu6.8t0.4",0.265663243356178,0.334576233953059,0.411064621549521,0.45441741345653,0.505337960513751,0.572310447916279,0.305708058711289
"nu6.8t0.6",0.265662535686825,0.334576614680207,0.411065478924888,0.454414775111839,0.505337983748127,0.572306334067026,0.305707553571597
"nu6.8t0.8",0.265669187624787,0.334584014222009,0.411072574596135,0.454417671887305,0.505339598543412,0.572306042814094,0.305725467737908
"nu6.8t1",0.265674677028194,0.334591087259599,0.411082448655663,0.454424810862769,0.505342362479082,0.572302146521444,0.305743954551441
"nu6.8t1.2",0.265684250216136,0.334599704859966,0.411089493437275,0.45443002161989,0.505343194240859,0.57229848998303,0.305748922212172
"nu6.8t1.4",0.2656838309562,0.334596941054524,0.411085566594879,0.454424592539335,0.505341048749654,0.57229248375691,0.305742959173109
"nu6.8t1.6",0.265685340445868,0.334599183511493,0.411086865746428,0.454423676007044,0.505339837037061,0.572289152070652,0.305747470172463
"nu6.8t1.8",0.265688293201896,0.33460116394237,0.411089202237287,0.454421170297257,0.505337592594687,0.57228481074765,0.305755072822102
"nu6.8t2",0.265689746553451,0.334601889259357,0.41108652226377,0.45441608915227,0.505332664381321,0.572278170940617,0.305756390991457
"nu7t0",0.26603240397614,0.334915573457615,0.411242541999042,0.454446360614764,0.505286499100131,0.572014201196645,0.306220035419247
"nu7t0.2",0.266040681627221,0.334921271211841,0.411248870645823,0.45445114172173,0.505294065253061,0.572015713324418,0.30622013652396
"nu7t0.4",0.26604273005672,0.334923946626343,0.411253559673302,0.454457383873593,0.505296341435546,0.572014155360424,0.306227049772412
"nu7t0.6",0.266042720424035,0.334921728673059,0.411252690139527,0.454458476379477,0.505296558879596,0.572011307392329,0.306222164681584
"nu7t0.8",0.266043498265749,0.334924481281158,0.411255583168069,0.454452997728001,0.505295444384185,0.572005575764705,0.306237795317632
"nu7t1",0.266045353976361,0.334927393220732,0.41125636109589,0.454452085494518,0.505296491285033,0.572008334090339,0.306242296309908
"nu7t1.2",0.266054932422839,0.334938670674828,0.411269296794377,0.454453908227277,0.505301382083869,0.572007286688645,0.306269609701915
"nu7t1.4",0.266058617165546,0.334941737393898,0.411272392459492,0.454457210108769,0.505302918411786,0.572007989957078,0.306272786678061
"nu7t1.6",0.266063853596832,0.334946020101811,0.411271127915049,0.454457698385121,0.50530317259861,0.572003697651614,0.306271065489184
"nu7t1.8",0.266073060468949,0.334956789028525,0.411275402264167,0.454460484320803,0.505303368730548,0.572010039727211,0.306280967079743
"nu7t2",0.266071745031005,0.334953230954183,0.411275579896487,0.454462103517522,0.505303326842659,0.572010893798749,0.306285698990086
"nu7.2t0",0.266410040722606,0.335290248117278,0.411455064259632,0.454558228421698,0.505297897710453,0.571750481721161,0.30671158354594
"nu7.2t0.2",0.266417825234284,0.335301266642401,0.411465212846909,0.454564299613054,0.505304142808686,0.571748852004193,0.306724130010208
"nu7.2t0.4",0.266420428650938,0.335303941327132,0.411467407704441,0.454568100845843,0.505312004096047,0.57175572119419,0.306721532753466
"nu7.2t0.6",0.266414639778569,0.335296560972155,0.411464681231192,0.454568241107708,0.505310633605293,0.571749827875017,0.306718318116285
