"","r0.01To1","r0.01To0.75","r0.01To0.5","r0.01To0.375","r0.01To0.25","r0.01To0.125","r0.3To0.5"
"nu4",0.2691037062775,0.341355225250418,0.423604809790226,0.47051666706255,0.525317802766408,0.597701249603323,0.309752368294304
"nu4.2",0.268515820007063,0.340541603664359,0.422478173320888,0.469142158877693,0.523727714315154,0.595834753107305,0.309182622884783
"nu4.4",0.267921715942217,0.33974624408656,0.421356442721418,0.467790141143755,0.522121254147195,0.593920764222114,0.308614864382673
"nu4.6",0.267347643586249,0.338963789227284,0.420279940396382,0.466457112677733,0.520592377108027,0.592029847296243,0.308084759976547
"nu4.8",0.266755302289339,0.338153968766097,0.419216739244959,0.465128651199944,0.519093462120776,0.590159730772509,0.307513317517248
"nu5",0.26620664588175,0.3373733283576,0.418167149844077,0.463886308085584,0.517683531902557,0.588321290528896,0.306894114746355
"nu5.2",0.265738353846953,0.336684970033171,0.417182989859625,0.462770363615674,0.516375818669349,0.586594863767667,0.306348706613762
"nu5.4",0.265317695384212,0.336067701738893,0.416209467848849,0.46170950434286,0.51514074195554,0.584971349434766,0.305751149779347
"nu5.6",0.264976604756308,0.335531909834685,0.41536289645211,0.460726030184363,0.513959108587005,0.583424449670726,0.305276320485907
"nu5.8",0.264658421196796,0.335040027640071,0.41452701257638,0.459746306703669,0.51275384103521,0.581943960737913,0.304781491408721
"nu6",0.264432683239383,0.334635840170451,0.413777431684339,0.45889323384454,0.511708423939509,0.580598521016414,0.304293882187613
"nu6.2",0.264267246632152,0.334306260172824,0.413091302738642,0.458115199770868,0.510732525685366,0.579395891968227,0.303886246705392
"nu6.4",0.264163092268372,0.334034273895298,0.412495440524815,0.457420835823461,0.509857973219743,0.57826542595989,0.30356146115401
"nu6.6",0.264113948784038,0.333827185464236,0.41198214412914,0.456797588583068,0.509028796378953,0.577240159446599,0.303406746950812
"nu6.8",0.264137656409172,0.333714249719228,0.41159075008397,0.456293249841252,0.508305906764102,0.576365760937842,0.303386312315386
"nu7",0.264183392941973,0.333652398690538,0.411224049787723,0.455785029731828,0.50763166922232,0.575581869224508,0.30332858468201
"nu7.2",0.264297204449613,0.333653471999288,0.410938621633906,0.455345912211236,0.507038943437676,0.574896367667462,0.303384192878098
"nu7.4",0.264468219949415,0.333722492080541,0.410800299021891,0.454992518723114,0.506532157415532,0.574276408808091,0.30366683112682
"nu7.6",0.264676327577055,0.333817419415942,0.410747541446768,0.454729522704867,0.506089594980237,0.573674078592386,0.304009030537558
"nu7.8",0.264946962970014,0.333974413967364,0.4107757632657,0.454518995963154,0.505768573366321,0.573187215588801,0.30446952590411
"nu8",0.265228647926576,0.334174157255484,0.410847591149087,0.454410384299386,0.505503943962667,0.572747219702041,0.304979365007051
